ID,Date,Content,Username,Retweets,Likes,Replies,Quote Tweets,Hashtags
1.65821E+18,2023-05-15 20:43:20+00:00,"@aa_abiola @afolxbi As in…. May Allah grant us strength ooo. Ko easy, I give it to Hilda Baci",MonsurahSM,0,2,0,0,
1.65821E+18,2023-05-15 20:43:20+00:00,@vanguardngrnews The entire Nation is so proud of Chef Hilda Baci💐,Omazillion,0,1,0,0,
1.65821E+18,2023-05-15 20:43:19+00:00,"@GWR @GWR handler: we need to confirm if hilda baci truly broke the record 
Nigerians: https://t.co/JhiU8KQDV7",wages0097,0,6,0,0,
1.65821E+18,2023-05-15 20:43:13+00:00,@EpenuPatra I see wether u can cook like Hilda Baci,EjidikeSamuel1,0,5,0,0,
1.65821E+18,2023-05-15 20:43:08+00:00,"Hajia4Real charged for role in romance scam and extradited from UK to USA – Attorney’s Office (in-depth)

________
Hajia 4Real Sheldon Guinness World Record Scam Shatta Eeii #Hildabacicookathon #hildabaci #100hrs Stonebwoy Canada Firestick https://t.co/uKrRR4Zv38",blacctbwoy_,0,2,0,0,"['Hildabacicookathon', 'hildabaci', '100hrs']"
1.65821E+18,2023-05-15 20:42:57+00:00,@GWR Hilda Baci has completed 100 hours of cooking we are all waiting for you guys to do the needful,hardewumipaul,0,1,0,0,
1.65821E+18,2023-05-15 20:42:57+00:00,"#GuinnessWorldRecord
#96hrs
#BLACKPINK
#Hildabacicookathon
“I want to cook with firewood for 20 days without stopping” – Nigerian lady set to make history by breaking chef Hilda Baci's record (Video) 
 https://t.co/Regl6vt4Jn https://t.co/kbqvB01Nvy",wonder9ja_,0,0,0,0,"['GuinnessWorldRecord', '96hrs', 'BLACKPINK', 'Hildabacicookathon']"
1.65821E+18,2023-05-15 20:42:57+00:00,Hilda Baci attracts Guinness World Record’s attention after cooking for 100 hours https://t.co/otllm3F28e,iam_gpo,0,0,0,0,
1.65821E+18,2023-05-15 20:42:55+00:00,"10yrs ago, Hilda Baci staying focused as a chef may be a joke to some people. But it was fulfilment for her, what she enjoys doing. Parents should be supportive of their children in their chosen careers. Little beginning should be acknowledged and appreciated.
#Hildabacicookathon https://t.co/ARLCWm09sX",fadakobor,5,10,1,0,['Hildabacicookathon']
1.65821E+18,2023-05-15 20:42:53+00:00,"I was praying for everyone who supported and rooted for Hilda Baci and I remembered the man by the pool of bethesda who was impotent for 38 years and Jesus asked him ""will thou be made whole""? And his response was ""I have no man"" John 5-1-9",themidenations,0,0,1,0,
1.65821E+18,2023-05-15 20:42:50+00:00,"This is greatness that we just witnessed  Such an amazing sight to behold. Hilda Baci broke the current record and set the bar wayy higherrr… 💯 

#GinoxHBaciBreakWorldRecord

 https://t.co/6mqrz47OyI",johnmik1_,0,0,0,1,['GinoxHBaciBreakWorldRecord']
1.65821E+18,2023-05-15 20:42:49+00:00,"The Akwa Ibom born Guinness World Record holder Hilda Bassey, her name Hilda Baci deserves to be used in the place of the word ""Cook"". SHE DID IT and she deserves it. ✌️✌️",emmanex4u,0,0,0,0,
1.65821E+18,2023-05-15 20:42:46+00:00,Congrats Hilda Baci for breaking the Guinness Book of Records for the longest hour cooking by one person https://t.co/QVRYiymx5Y,paulos_ab,0,0,0,0,
